code,timestamp_started,timestamp_ended,attacker_id,attacker_name,attacker_faction,attacker_factionname,defender_id,defender_name,defender_faction,defender_factionname,result,stealthed,respect,chain,raid,ranked_war,respect_gain,respect_loss,modifiers_fair_fight,modifiers_war,modifiers_retaliation,modifiers_group_attack,modifiers_overseas,modifiers_chain_bonus
b4e744e7627ed0bd9e465c60a8e391f9,1682147704,1682147722,,,,,2837508,EndKiri,44762,The Power Rangers,Attacked,1,4.15,552,0,1,4.15,1.04,1.4,2,1,1,1,1.44
b45af511a5f9433043a8f647202fda27,1682147766,1682147770,2678362,Stewart33,22968,Revolutionary Guerrillas,2734648,Aditya30,44762,The Power Rangers,Attacked,0,5.11,553,0,1,5.11,1.28,1.6,2,1,1,1,1.44
6698132bb50e4fa75380b06c114ed790,1682147823,1682147832,,,,,2596997,busra,44762,The Power Rangers,Attacked,1,2.81,554,0,1,2.81,0.7,1.12,2,1,1,1,1.44
c849956e6121717c7acfd8811faf5e6d,1682147828,1682147864,350355,PadanFain,22968,Revolutionary Guerrillas,2346520,Tasty,44762,The Power Rangers,Attacked,0,11.4,555,0,1,11.4,2.85,3,2,1,1,1,1.44
1b7d9364519e734d071082b9be999852,1682147917,1682147924,2678362,Stewart33,22968,Revolutionary Guerrillas,2245396,Heathcliffe,44762,The Power Rangers,Attacked,0,4.73,556,0,1,4.73,1.18,1.38,2,1,1,1,1.44
b63df98dcee03f0f5ca9267763f4f51d,1682147925,1682147943,,,,,2590405,microgeniusz80,44762,The Power Rangers,Attacked,1,3.35,557,0,1,3.35,0.84,1.15,2,1,1,1,1.44
a72f9a4423d75b885efb314520f0d85d,1682147978,1682147985,2678362,Stewart33,22968,Revolutionary Guerrillas,2099194,GooGooSauce,44762,The Power Rangers,Attacked,0,5.25,558,0,1,5.25,1.31,1.52,2,1,1,1,1.44
0f39497882ce1d3b48604c908371342e,1682148025,1682148037,,,,,2839747,Sta_Whi,44762,The Power Rangers,Attacked,1,3.46,559,0,1,3.46,0.87,1.2,2,1,1,1,1.44
a50d501c54d1bec6c00422cab90b5120,1682148113,1682148123,,,,,2879869,BOTViking,44762,The Power Rangers,Attacked,1,3.83,560,0,1,3.83,0.96,1.33,2,1,1,1,1.44
62c4932162e9e192d19772385a468617,1682148134,1682148138,2678362,Stewart33,22968,Revolutionary Guerrillas,2199188,Runite,44762,The Power Rangers,Attacked,0,4.37,561,0,1,4.37,1.09,1.38,2,1,1,1,1.44
79676731dfdf6359418ffa22c72dc4bb,1682148199,1682148211,,,,,2864369,LordTenchi,44762,The Power Rangers,Attacked,1,3.19,562,0,1,3.19,0.8,1.12,2,1,1,1,1.44
8286c67af73890314cf94f4779c1df46,1682148290,1682148295,,,,,1946860,ralphietheax,44762,The Power Rangers,Attacked,1,2.84,563,0,1,2.84,0.71,1.06,2,1,1,1,1.44
ae72b4dd4aed4c08931e347ba4ed0dd9,1682148294,1682148305,,,,,2832387,Johnny84,44762,The Power Rangers,Attacked,1,5.1,564,0,1,5.1,1.28,1.64,2,1,1,1,1.44
aa822f336e8bb69bf2db9275826842de,1682148377,1682148389,2678362,Stewart33,22968,Revolutionary Guerrillas,2344599,GeneralKev,44762,The Power Rangers,Attacked,0,9.04,565,0,1,9.04,2.26,2.53,2,1,1,1,1.44
fca0f8f4c2d14872a302a469a5f21c8e,1682148378,1682148389,,,,,2878315,Dustyplok,44762,The Power Rangers,Attacked,1,3.82,566,0,1,3.82,0.96,1.34,2,1,1,1,1.44
2810bed2b374121b7eea7ff58fa914f3,1682148464,1682148475,2378426,gHosTsHaDoWmisT,22968,Revolutionary Guerrillas,2804718,wajcha,44762,The Power Rangers,Attacked,0,6.71,567,0,1,6.71,1.68,2.08,2,1,1,1,1.44
b220fca118ee66c2bc42ee9a39ff4a96,1682148505,1682148514,2748401,Shaisia,19,39th Street Killers,2784719,Wikali,44762,The Power Rangers,Mugged,0,1.81,2,0,0,1.81,0.45,1.65,1,1,1,1.25,1
c9ac3cd17902f3aa0ff51166972d2dab,1682148528,1682148545,479105,mOsSieFieD,22968,Revolutionary Guerrillas,1346907,baustelac,44762,The Power Rangers,Attacked,0,13.85,568,0,1,13.85,3.46,3,2,1,1,1,1.44,1.17
3d94e619da0aa2064c884eac00e9fbc5,1682148554,1682148556,479105,mOsSieFieD,22968,Revolutionary Guerrillas,2085947,DodgyBarnet,44762,The Power Rangers,Attacked,0,13.3,569,0,1,13.3,3.33,2.82,2,1,1,1,1.44,1.17
5fdc8539fc351e9284cb069cdb077de1,1682148558,1682148569,,,,,2684537,mesht,44762,The Power Rangers,Attacked,1,5.52,571,0,1,5.52,1.38,1.79,2,1,1,1,1.44
c204cac09cca4d36d890527092f74d12,1682148565,1682148567,,,,,2025791,Todd93,44762,The Power Rangers,Attacked,1,3.82,570,0,1,3.82,0.96,1.03,2,1,1,1,1.44,1.17
c75b87c208cd3067a13525d606ed0a8c,1682148580,1682148583,479105,mOsSieFieD,22968,Revolutionary Guerrillas,2600238,Alexreiger,44762,The Power Rangers,Attacked,0,7.46,572,0,1,7.46,1.87,1.69,2,1,1,1,1.44,1.17
b2db9870fa814b84af911c797d63595a,1682148581,1682148587,2678362,Stewart33,22968,Revolutionary Guerrillas,2481578,saltedpopcorn,44762,The Power Rangers,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
588bec1e2f7bbb1c77670fc26b4270d1,1682148585,1682148590,2070155,RUKittenMeRTNow,44762,The Power Rangers,2606868,Ifer,22968,Revolutionary Guerrillas,Attacked,1,2.44,1,0,1,2.44,0.61,1.1,2,1,1,1,1
78abbabcd9e794f7a885dc015009bdc2,1682148595,1682148602,2239333,bLackHearTNeL,22968,Revolutionary Guerrillas,2704729,Daredevil1234,44762,The Power Rangers,Attacked,0,4.82,573,0,1,4.82,1.21,1.36,2,1,1,1,1.44
b474cb763dddd9e244125270cb99b2aa,1682148644,1682148656,479105,mOsSieFieD,22968,Revolutionary Guerrillas,2575642,Transhumanist,44762,The Power Rangers,Attacked,0,9.99,574,0,1,9.99,2.5,2.18,2,1,1,1,1.44,1.17
f790aecb8644bd9d25f7403db46955bb,1682148655,1682148666,,,,,2837508,EndKiri,44762,The Power Rangers,Attacked,1,4.15,575,0,1,4.15,1.04,1.4,2,1,1,1,1.44
550df1d573ac4d446a6118641279887d,1682148660,1682148680,2070155,RUKittenMeRTNow,44762,The Power Rangers,2728437,Pearlx,22968,Revolutionary Guerrillas,Attacked,0,3.94,2,0,1,3.94,0.99,1.76,2,1,1,1,1
